input_token,a,adjusts,an,and,applies,attention,be,between,bias,by,can,change,chosen,collection,conditions,corpus,create,data,descent,determines,does,during,embedding,emphasizes,error,fact,fit,from,function,functions,gradient,gradients,has,helps,improvement,in,inference,input,inputs,instruct,intent,is,itself,know,language,large,learn,learned,likelihood,maps,mathematical,meaning,mechanism,method,minimization,model,network,neural,next,no,nonlinear,not,number,numeric,of,offset,on,one,optimization,output,outputs,over,parameter,parameters,part,patterns,people,predicted,prediction,predictor,predicts,probabilities,probability,produces,prompt,reason,reduces,relevant,repeated,represents,scales,shifts,slows,statistical,stops,sum,sums,text,the,to,token,tokens,trained,training,truth,understand,understanding,unit,updated,updates,using,vector,weight,weighted,weighting,what,when,word,zero
can,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,5.3772,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,4.0916,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809
change,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,4.3550,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369
chosen,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,4.0094,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,4.0413,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688
collection,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,6.1087,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518
conditions,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,4.3550,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369
corpus,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,4.0916,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,5.3772,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809,-0.0809
create,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,4.3550,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369
data,4.3550,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369
descent,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,3.7740,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,3.7975,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,3.8214,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982,-0.0982
determines,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,4.3550,-0.0369,-0.0369,-0.0369
does,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,7.8195,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663,-0.0663
during,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,6.1087,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518,-0.0518
embedding,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,5.4126,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,4.0708,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811,-0.0811
emphasizes,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,4.3550,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369
error,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,4.0413,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,4.0094,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688,-0.0688
fact,4.3550,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369
fit,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,4.3550,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369
from,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,4.3550,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369
function,4.3550,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369,-0.0369
